mes_compra,p_compra,mes_venta,p_venta,usd,pesos_final,ganancia,error_ganancia,error_ganancia_pct
Mar-2023,809.50,May-2023,798.64,1234.57,986419.75,-13580.25,1053.92,7.76
Mar-2023,809.50,Jun-2023,799.87,1234.57,987654.32,-12345.68,770.56,6.24
Mar-2023,809.50,Jul-2023,813.40,1234.57,1003703.70,3703.70,1113.54,30.07
Mar-2023,809.50,Ago-2023,855.66,1234.57,1056790.12,56790.12,1072.66,1.89
Mar-2023,809.50,Sep-2023,884.40,1234.57,1091358.02,91358.02,1167.70,1.28
Mar-2023,809.50,Oct-2023,926.35,1234.57,1143209.88,143209.88,1138.06,0.79
Mar-2023,809.50,Nov-2023,886.61,1234.57,1095061.73,95061.73,1158.07,1.22
Mar-2023,809.50,Dic-2023,874.67,1234.57,1080246.91,80246.91,1074.79,1.34
Mar-2023,809.50,Ene-2024,907.99,1234.57,1120987.65,120987.65,704.74,0.58
Mar-2023,809.50,Feb-2024,963.44,1234.57,1188888.89,188888.89,1277.30,0.68
Mar-2023,809.50,Mar-2024,967.93,1234.57,1195061.73,195061.73,824.57,0.42
Mar-2023,809.50,Abr-2024,960.14,1234.57,1185185.19,185185.19,904.86,0.49
Mar-2023,809.50,May-2024,917.88,1234.57,1133333.33,133333.33,848.19,0.64
Mar-2023,809.50,Jun-2024,926.08,1234.57,1143209.88,143209.88,804.88,0.56
Mar-2023,809.50,Jul-2024,937.56,1234.57,1158024.69,158024.69,1258.74,0.80
Mar-2023,809.50,Ago-2024,929.90,1234.57,1148148.15,148148.15,832.64,0.56
Mar-2023,809.50,Sep-2024,926.21,1234.57,1143209.88,143209.88,965.32,0.67
Mar-2023,809.50,Oct-2024,933.81,1234.57,1153086.42,153086.42,946.84,0.62
Mar-2023,809.50,Nov-2024,971.60,1234.57,1200000.00,200000.00,1235.23,0.62
Mar-2023,809.50,Dic-2024,982.30,1234.57,1212345.68,212345.68,1119.08,0.53
Mar-2023,809.50,Ene-2025,1000.76,1234.57,1234567.90,234567.90,1700.11,0.72
Mar-2023,809.50,Feb-2025,956.62,1234.57,1181481.48,181481.48,1199.08,0.66
Mar-2023,809.50,Mar-2025,932.55,1234.57,1151851.85,151851.85,1267.28,0.83
Mar-2023,809.50,Abr-2025,961.96,1234.57,1187654.32,187654.32,782.96,0.42
Mar-2023,809.50,May-2025,941.01,1234.57,1161728.40,161728.40,729.90,0.45
Mar-2023,809.50,Jun-2025,938.04,1234.57,1158024.69,158024.69,764.65,0.48
Mar-2023,809.50,Jul-2025,951.55,1234.57,1175308.64,175308.64,1281.77,0.73
Mar-2023,809.50,Ago-2025,966.30,1234.57,1192592.59,192592.59,1106.88,0.57
Mar-2023,809.50,Sep-2025,960.37,1234.57,1185185.19,185185.19,1188.66,0.64
Mar-2023,809.50,Oct-2025,953.97,1234.57,1177777.78,177777.78,764.51,0.43
Mar-2023,809.50,Nov-2025,935.70,1234.57,1155555.56,155555.56,1084.24,0.70
Mar-2023,809.50,Dic-2025,916.16,1234.57,1130864.20,130864.20,895.99,0.68
Abr-2023,803.84,May-2023,798.64,1243.78,993781.09,-6218.91,645.77,10.38
Abr-2023,803.84,Jun-2023,799.87,1243.78,995024.88,-4975.12,359.77,7.23
Abr-2023,803.84,Jul-2023,813.40,1243.78,1011194.03,11194.03,698.54,6.24
Abr-2023,803.84,Ago-2023,855.66,1243.78,1064676.62,64676.62,634.97,0.98
Abr-2023,803.84,Sep-2023,884.40,1243.78,1099502.49,99502.49,716.14,0.72
Abr-2023,803.84,Oct-2023,926.35,1243.78,1151741.29,151741.29,664.41,0.44
Abr-2023,803.84,Nov-2023,886.61,1243.78,1103233.83,103233.83,704.88,0.68
Abr-2023,803.84,Dic-2023,874.67,1243.78,1088308.46,88308.46,627.22,0.71
Abr-2023,803.84,Ene-2024,907.99,1243.78,1129353.23,129353.23,237.23,0.18
Abr-2023,803.84,Feb-2024,963.44,1243.78,1197761.19,197761.19,785.42,0.40
Abr-2023,803.84,Mar-2024,967.93,1243.78,1203980.10,203980.10,326.72,0.16
Abr-2023,803.84,Abr-2024,960.14,1243.78,1194029.85,194029.85,411.77,0.21
Abr-2023,803.84,May-2024,917.88,1243.78,1141791.04,141791.04,376.54,0.27
Abr-2023,803.84,Jun-2024,926.08,1243.78,1151741.29,151741.29,328.74,0.22
Abr-2023,803.84,Jul-2024,937.56,1243.78,1166666.67,166666.67,779.74,0.47
Abr-2023,803.84,Ago-2024,929.90,1243.78,1156716.42,156716.42,354.63,0.23
Abr-2023,803.84,Sep-2024,926.21,1243.78,1151741.29,151741.29,490.38,0.32
Abr-2023,803.84,Oct-2024,933.81,1243.78,1161691.54,161691.54,467.59,0.29
Abr-2023,803.84,Nov-2024,971.60,1243.78,1208955.22,208955.22,738.35,0.35
Abr-2023,803.84,Dic-2024,982.30,1243.78,1221393.03,221393.03,616.13,0.28
Abr-2023,803.84,Ene-2025,1000.76,1243.78,1243781.09,243781.09,1192.12,0.49
Abr-2023,803.84,Feb-2025,956.62,1243.78,1190298.51,190298.51,709.75,0.37
Abr-2023,803.84,Mar-2025,932.55,1243.78,1160447.76,160447.76,790.95,0.49
Abr-2023,803.84,Abr-2025,961.96,1243.78,1196517.41,196517.41,287.91,0.15
Abr-2023,803.84,May-2025,941.01,1243.78,1170398.01,170398.01,245.40,0.14
Abr-2023,803.84,Jun-2025,938.04,1243.78,1166666.67,166666.67,281.97,0.17
Abr-2023,803.84,Jul-2025,951.55,1243.78,1184079.60,184079.60,795.65,0.43
Abr-2023,803.84,Ago-2025,966.30,1243.78,1201492.54,201492.54,612.17,0.30
Abr-2023,803.84,Sep-2025,960.37,1243.78,1194029.85,194029.85,697.69,0.36
Abr-2023,803.84,Oct-2025,953.97,1243.78,1186567.16,186567.16,273.49,0.15
Abr-2023,803.84,Nov-2025,935.70,1243.78,1164179.10,164179.10,604.98,0.37
Abr-2023,803.84,Dic-2025,916.16,1243.78,1139303.48,139303.48,425.74,0.31
May-2023,798.64,Jun-2023,799.87,1251.56,1001251.56,1251.56,614.06,49.06
May-2023,798.64,Jul-2023,813.40,1251.56,1017521.90,17521.90,959.04,5.47
May-2023,798.64,Ago-2023,855.66,1251.56,1071339.17,71339.17,908.62,1.27
May-2023,798.64,Sep-2023,884.40,1251.56,1106382.98,106382.98,999.12,0.94
May-2023,798.64,Oct-2023,926.35,1251.56,1158948.69,158948.69,960.30,0.60
May-2023,798.64,Nov-2023,886.61,1251.56,1110137.67,110137.67,988.74,0.90
May-2023,798.64,Dic-2023,874.67,1251.56,1095118.90,95118.90,906.81,0.95
May-2023,798.64,Ene-2024,907.99,1251.56,1136420.53,136420.53,524.78,0.38
May-2023,798.64,Feb-2024,963.44,1251.56,1205256.57,205256.57,1093.73,0.53
May-2023,798.64,Mar-2024,967.93,1251.56,1211514.39,211514.39,633.73,0.30
May-2023,798.64,Abr-2024,960.14,1251.56,1201501.88,201501.88,716.79,0.36
May-2023,798.64,May-2024,917.88,1251.56,1148936.17,148936.17,668.11,0.45
May-2023,798.64,Jun-2024,926.08,1251.56,1158948.69,158948.69,622.53,0.39
May-2023,798.64,Jul-2024,937.56,1251.56,1173967.46,173967.46,1080.13,0.62
May-2023,798.64,Ago-2024,929.90,1251.56,1163954.94,163954.94,649.84,0.40
May-2023,798.64,Sep-2024,926.21,1251.56,1158948.69,158948.69,785.18,0.49
May-2023,798.64,Oct-2024,933.81,1251.56,1168961.20,168961.20,764.77,0.45
May-2023,798.64,Nov-2024,971.60,1251.56,1216520.65,216520.65,1049.20,0.48
May-2023,798.64,Dic-2024,982.30,1251.56,1229036.30,229036.30,929.36,0.41
May-2023,798.64,Ene-2025,1000.76,1251.56,1251564.46,251564.46,1514.63,0.60
May-2023,798.64,Feb-2025,956.62,1251.56,1197747.18,197747.18,1015.69,0.51
May-2023,798.64,Mar-2025,932.55,1251.56,1167709.64,167709.64,1089.84,0.65
May-2023,798.64,Abr-2025,961.96,1251.56,1204005.01,204005.01,592.79,0.29
May-2023,798.64,May-2025,941.01,1251.56,1177722.15,177722.15,543.39,0.31
May-2023,798.64,Jun-2025,938.04,1251.56,1173967.46,173967.46,579.25,0.33
May-2023,798.64,Jul-2025,951.55,1251.56,1191489.36,191489.36,1100.55,0.57
May-2023,798.64,Ago-2025,966.30,1251.56,1209011.26,209011.26,920.33,0.44
May-2023,798.64,Sep-2025,960.37,1251.56,1201501.88,201501.88,1004.50,0.50
May-2023,798.64,Oct-2025,953.97,1251.56,1193992.49,193992.49,575.76,0.30
May-2023,798.64,Nov-2025,935.70,1251.56,1171464.33,171464.33,903.65,0.53
May-2023,798.64,Dic-2025,916.16,1251.56,1146433.04,146433.04,716.99,0.49
Jun-2023,799.87,Jul-2023,813.40,1250.00,1016250.00,16250.00,664.92,4.09
Jun-2023,799.87,Ago-2023,855.66,1250.00,1070000.00,70000.00,599.07,0.86
Jun-2023,799.87,Sep-2023,884.40,1250.00,1105000.00,105000.00,679.37,0.65
Jun-2023,799.87,Oct-2023,926.35,1250.00,1157500.00,157500.00,625.46,0.40
Jun-2023,799.87,Nov-2023,886.61,1250.00,1108750.00,108750.00,667.92,0.61
Jun-2023,799.87,Dic-2023,874.67,1250.00,1093750.00,93750.00,590.42,0.63
Jun-2023,799.87,Ene-2024,907.99,1250.00,1135000.00,135000.00,196.97,0.15
Jun-2023,799.87,Feb-2024,963.44,1250.00,1203750.00,203750.00,745.39,0.37
Jun-2023,799.87,Mar-2024,967.93,1250.00,1210000.00,210000.00,284.16,0.14
Jun-2023,799.87,Abr-2024,960.14,1250.00,1200000.00,200000.00,370.01,0.19
Jun-2023,799.87,May-2024,917.88,1250.00,1147500.00,147500.00,336.52,0.23
Jun-2023,799.87,Jun-2024,926.08,1250.00,1157500.00,157500.00,288.12,0.18
Jun-2023,799.87,Jul-2024,937.56,1250.00,1172500.00,172500.00,740.82,0.43
Jun-2023,799.87,Ago-2024,929.90,1250.00,1162500.00,162500.00,313.95,0.19
Jun-2023,799.87,Sep-2024,926.21,1250.00,1157500.00,157500.00,450.56,0.29
Jun-2023,799.87,Oct-2024,933.81,1250.00,1167500.00,167500.00,427.30,0.26
Jun-2023,799.87,Nov-2024,971.60,1250.00,1215000.00,215000.00,697.68,0.32
